Priority Buckets,Chain Name,Ship-To Name,Bill-To / Account (inferred),Direct/Distributor,Brand,Month Logic,Months Covered,Month Range,Avg Cont%,Min Cont%,Max Cont%,Mapping Confidence,Remarks,Pri: Low Confidence,Pri: Medium Confidence,Pri: Multi-Chain Distributor,Pri: Negative NSV/Cont,Pri: Name Variant (Merge Candidate),Validation Status,Validated Chain,Validated Account / Bill-To,Mapping Action,Validation Remarks,Validated By,Validated Date
5-Name Variant,Nykaa SS(fsn),Nykaa E-Retail Limited.-TG EB2B,Nykaa E-Retail Limited,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),12,Jun'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 3 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Nykaa SS(fsn),Nykaa E-Retail Limited.-TG EB2B,Nykaa E-Retail Limited,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),12,Jun'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 3 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Nykaa SS(fsn),Nykaa E-Retail Limited.-WB EB2B,Nykaa E-Retail Limited,Direct,Aqualogica,Monthly dynamic Cont% (secondary-driven),12,Jun'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 3 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Nykaa SS(fsn),Nykaa E-Retail Limited.-WB EB2B,Nykaa E-Retail Limited,Direct,Dr. Sheth's,Monthly dynamic Cont% (secondary-driven),1,Oct'25–Oct'25,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 3 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Nykaa SS(fsn),Nykaa E-Retail Limited.-WB EB2B,Nykaa E-Retail Limited,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),12,Jun'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 3 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,Nykaa SS(fsn),Nykaa E-Retail Limited.-WB EB2B,Nykaa E-Retail Limited,Direct,The Derma Co.,Monthly dynamic Cont% (secondary-driven),12,Jun'25–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 3 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Trilife,Az Enterprises,Az Enterprises,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),5,Nov'25–May'26,2.12,0.34,4.21,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Trilife,Az Enterprises,Az Enterprises,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),5,Nov'25–May'26,4.32,1.34,8.45,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Trilife,Az Enterprises,Az Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),3,Dec'25–May'26,0.12,0.02,0.23,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Trilife,Az Enterprises,Az Enterprises,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),4,Dec'25–May'26,0.26,0.08,0.49,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Trilife,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),4,Apr'25–Aug'25,1.4,0.44,3.02,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Trilife,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),4,Apr'25–Oct'25,1.37,0.1,2.64,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Trilife,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,Dr. Sheth's,Monthly dynamic Cont% (secondary-driven),1,Oct'25–Oct'25,0.32,0.32,0.32,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Trilife,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),5,Apr'25–Nov'25,1.76,0.01,10.19,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Trilife,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),5,Apr'25–Nov'25,0.21,0.02,0.34,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant,V-Mart,V-Mart Retail Limited-OR,V-Mart Retail Limited,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,May'26–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant,V-Mart,V-Mart Retail Limited-WB,V-Mart Retail Limited,Direct,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,May'26–May'26,100.0,100.0,100.0,High,Direct ship-to → single chain (1:1); account has 2 ship-to variants/branches — confirm roll-up,,,,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Vishal Mega Mart,Az Enterprises,Az Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),4,Dec'25–Apr'26,6.88,0.21,19.47,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
5-Name Variant; 3-Multi-Chain Dist; 2-Medium Conf,Vishal Mega Mart,Az Enterprises(Apollo/More)Mt,Az Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),2,Jun'25–Feb'26,3.99,3.83,4.15,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains); account has 2 ship-to variants/branches — confirm roll-up,,Y,Y,,Y,Pending,,,Merge,,,
3-Multi-Chain Dist; 2-Medium Conf,Apna Mart,D.L. Sales - MT,D.L. Sales,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),3,Feb'26–Apr'26,3.74,0.21,8.89,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apna Mart,D.L. Sales - MT,D.L. Sales,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),2,Feb'26–Apr'26,8.03,3.9,12.16,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apna Mart,SRIJAN ENTERPRISES-MT-JH,SRIJAN ENTERPRISES,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),3,Feb'26–Apr'26,94.63,86.58,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (2 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,Arc Foods And Beverages_Mt_H&G,Arc Foods And Beverages_Mt_H&G,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),6,Apr'25–Sep'25,12.1,2.85,31.76,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,Arc Foods And Beverages_Mt_H&G,Arc Foods And Beverages_Mt_H&G,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),9,Apr'25–Dec'25,53.09,42.34,64.15,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,Arc Foods And Beverages_Mt_H&G,Arc Foods And Beverages_Mt_H&G,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),9,Apr'25–Dec'25,26.15,13.76,36.58,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,BALAJI ASSOCIATES Distributor MT,BALAJI ASSOCIATES Distributor MT,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),3,Mar'26–May'26,0.43,0.34,0.6,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,BALAJI ASSOCIATES Distributor MT,BALAJI ASSOCIATES Distributor MT,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),2,Apr'26–May'26,57.54,15.07,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,D.L. Sales - MT,D.L. Sales,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),6,Apr'25–Sep'25,19.93,3.63,44.67,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,D.L. Sales - MT,D.L. Sales,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,27.83,3.86,47.02,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,D.L. Sales - MT,D.L. Sales,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,30.43,0.6,79.55,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,G.V Enterprises,G.V Enterprises,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),3,Apr'25–Jun'25,12.66,8.51,17.73,Medium,Multi-chain distributor; split by secondary Cont% — validate (4 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,G.V Enterprises,G.V Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,6.9,1.07,10.58,Medium,Multi-chain distributor; split by secondary Cont% — validate (4 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,G.V Enterprises,G.V Enterprises,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),13,Apr'25–May'26,35.37,5.23,63.77,Medium,Multi-chain distributor; split by secondary Cont% — validate (4 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,M/S KOTTARAM BUSINESS CORPORATION-MT,M/S KOTTARAM BUSINESS CORPORATION,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,Apr'25–Apr'25,6.01,6.01,6.01,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,M/S KOTTARAM BUSINESS CORPORATION-MT,M/S KOTTARAM BUSINESS CORPORATION,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),1,Apr'25–Apr'25,13.08,13.08,13.08,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,PRAGATI SALES-D-MART,PRAGATI SALES-D-MART,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),1,Mar'26–Mar'26,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (2 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,PRAGATI SALES-D-MART,PRAGATI SALES-D-MART,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),3,Feb'26–Apr'26,36.95,4.93,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (2 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,PRAGATI SALES-D-MART,PRAGATI SALES-D-MART,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),1,Mar'26–Mar'26,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (2 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,Sri Vijaya Durga Agencies_Mt,Sri Vijaya Durga Agencies,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),3,Apr'25–Jun'25,13.21,6.22,25.82,Medium,Multi-chain distributor; split by secondary Cont% — validate (7 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,Sri Vijaya Durga Agencies_Mt,Sri Vijaya Durga Agencies,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,25.6,4.27,44.29,Medium,Multi-chain distributor; split by secondary Cont% — validate (7 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,Sri Vijaya Durga Agencies_Mt,Sri Vijaya Durga Agencies,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),13,Apr'25–May'26,20.78,2.26,77.55,Medium,Multi-chain distributor; split by secondary Cont% — validate (7 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),2,Apr'26–May'26,4.32,4.09,4.54,Medium,Multi-chain distributor; split by secondary Cont% — validate (8 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),2,Apr'26–May'26,22.66,15.64,29.67,Medium,Multi-chain distributor; split by secondary Cont% — validate (8 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),6,Dec'25–May'26,22.59,0.04,47.96,Medium,Multi-chain distributor; split by secondary Cont% — validate (8 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),6,Dec'25–May'26,40.68,1.09,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (8 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),6,Apr'25–Dec'25,10.82,3.62,22.87,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),6,Apr'25–Dec'25,31.64,26.25,38.59,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Apollo,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),6,Apr'25–Dec'25,31.4,13.29,66.54,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Arambagh,D.L. Sales - MT,D.L. Sales,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),2,Jul'25–Aug'25,29.08,24.19,33.97,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Arambagh,D.L. Sales - MT,D.L. Sales,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,7.93,1.27,23.42,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Arambagh,D.L. Sales - MT,D.L. Sales,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),8,Jul'25–May'26,3.37,0.44,7.98,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,B&N,Arc Foods And Beverages_Mt_H&G,Arc Foods And Beverages_Mt_H&G,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),1,Oct'25–Oct'25,14.84,14.84,14.84,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,B&N,Arc Foods And Beverages_Mt_H&G,Arc Foods And Beverages_Mt_H&G,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),2,Aug'25–Oct'25,51.64,8.08,95.21,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,B&N,Arc Foods And Beverages_Mt_H&G,Arc Foods And Beverages_Mt_H&G,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),2,Aug'25–Oct'25,0.43,0.2,0.66,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,B&N,Arc Foods And Beverages_Mt_H&G,Arc Foods And Beverages_Mt_H&G,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),2,Aug'25–Oct'25,0.54,0.53,0.55,Medium,Multi-chain distributor; split by secondary Cont% — validate (3 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,B&N,VENKATESHWARA AGENCIES-TG,VENKATESHWARA AGENCIES,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),2,Jan'26–Feb'26,1.79,1.02,2.56,Medium,Multi-chain distributor; split by secondary Cont% — validate (8 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,B&N,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),3,Jul'25–Dec'25,13.45,3.0,30.3,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,B&N,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,BBlunt,Monthly dynamic Cont% (secondary-driven),3,Jul'25–Dec'25,52.74,19.46,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,B&N,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),3,Jul'25–Dec'25,0.35,0.1,0.82,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,B&N,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),3,Jul'25–Dec'25,3.15,1.4,4.57,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,D-Mart,CHHABRA TRADERS_Ship To,CHHABRA TRADERS,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),2,Apr'26–May'26,6.46,1.04,11.87,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,D-Mart,Chhabra Traders,Chhabra Traders,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),2,Apr'26–May'26,3.67,0.34,7.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,D-Mart,G.V Enterprises,G.V Enterprises,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),2,Mar'26–May'26,88.02,79.56,96.48,Medium,Multi-chain distributor; split by secondary Cont% — validate (4 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,D-Mart,G.V Enterprises,G.V Enterprises,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,56.07,7.75,92.06,Medium,Multi-chain distributor; split by secondary Cont% — validate (4 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,D-Mart,G.V Enterprises,G.V Enterprises,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),6,Dec'25–May'26,38.42,10.24,71.08,Medium,Multi-chain distributor; split by secondary Cont% — validate (4 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist,D-Mart,PRAGATI SALES-D-MART,PRAGATI SALES-D-MART,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),2,Apr'26–May'26,100.0,100.0,100.0,High,Multi-chain distributor; chain name in ship-to (2 chains),,,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist,D-Mart,PRAGATI SALES-D-MART,PRAGATI SALES-D-MART,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),13,Apr'25–May'26,99.17,94.08,100.0,High,Multi-chain distributor; chain name in ship-to (2 chains),,,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist,D-Mart,PRAGATI SALES-D-MART,PRAGATI SALES-D-MART,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),5,Dec'25–May'26,100.0,100.0,100.0,High,Multi-chain distributor; chain name in ship-to (2 chains),,,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,D-Mart,SAI SAACHI ASSOCIATES-MT-OR,SAI SAACHI ASSOCIATES,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,Apr'26–Apr'26,41.31,41.31,41.31,Medium,Multi-chain distributor; split by secondary Cont% — validate (4 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,D-Mart,Sri Vijaya Durga Agencies_Mt,Sri Vijaya Durga Agencies,Dist.,Aqualogica,Monthly dynamic Cont% (secondary-driven),2,Mar'26–May'26,90.9,82.19,99.61,Medium,Multi-chain distributor; split by secondary Cont% — validate (7 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,D-Mart,Sri Vijaya Durga Agencies_Mt,Sri Vijaya Durga Agencies,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),14,Apr'25–May'26,31.36,6.93,60.28,Medium,Multi-chain distributor; split by secondary Cont% — validate (7 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,D-Mart,Sri Vijaya Durga Agencies_Mt,Sri Vijaya Durga Agencies,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),6,Dec'25–May'26,40.66,1.78,88.55,Medium,Multi-chain distributor; split by secondary Cont% — validate (7 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,D-Mart,Vanaja Agencies_Mt,Vanaja Agencies,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,May'26–May'26,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (9 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Deal Share,CHHABRA TRADERS_Ship To,CHHABRA TRADERS,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,Dec'25–Dec'25,12.15,12.15,12.15,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Deal Share,Chhabra Traders,Chhabra Traders,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,Mar'26–Mar'26,0.16,0.16,0.16,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Deal Share,D.L. Sales - MT,D.L. Sales,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),2,Dec'25–Feb'26,5.82,1.25,11.08,Medium,Multi-chain distributor; split by secondary Cont% — validate (13 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Deal Share,MANOJ SOAP AGENCY-MT,MANOJ SOAP AGENCY,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,May'26–May'26,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (2 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Deal Share,MANOJ SOAP AGENCY-MT,MANOJ SOAP AGENCY,Dist.,The Derma Co.,Monthly dynamic Cont% (secondary-driven),2,Apr'26–May'26,100.0,100.0,100.0,Medium,Multi-chain distributor; split by secondary Cont% — validate (2 chains),,Y,Y,,,Pending,,,Needs Check,,,
3-Multi-Chain Dist; 2-Medium Conf,Deal Share,Sancus Networks Private Limited-RMT,Sancus Networks Private Limited,Dist.,Mamaearth,Monthly dynamic Cont% (secondary-driven),1,Mar'26–Mar'26,5.93,5.93,5.93,Medium,Multi-chain distributor; split by secondary Cont% — validate (5 chains),,Y,Y,,,Pending,,,Needs Check,,,
